id,source_group,asset_path,decision
Z027,Z,assets/zotero/Chemical-Engineering-Journal/ANEEY5KV/ZOT-ANEEY5KV-IQCUYRSL-FIG4-P6.png,delete
Z028,Z,assets/zotero/Chemical-Engineering-Journal/B7AHR4MM/ZOT-B7AHR4MM-SJQFWK9T-FIG5-P7.png,delete
Z029,Z,assets/zotero/Chemical-Engineering-Journal/C8U98XW2/ZOT-C8U98XW2-8M5PGKYM-FIG3-P5.png,delete
Z030,Z,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG1-P3.png,delete
Z031,Z,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG4-P7.png,delete
Z032,Z,assets/zotero/Chemical-Engineering-Journal/DJSTSB3E/ZOT-DJSTSB3E-L5NV7G7Z-FIG6-P10.png,keep
Z033,Z,assets/zotero/Chemical-Engineering-Journal/H98A4EWI/ZOT-H98A4EWI-EI6GC7P7-FIG5-P7.png,delete
Z034,Z,assets/zotero/Chemical-Engineering-Journal/M3MZ4FGS/ZOT-M3MZ4FGS-W9QDBYTG-FIG1-P3.png,delete
Z035,Z,assets/zotero/Chemical-Engineering-Journal/TQDS7LW3/ZOT-TQDS7LW3-X7X6I5JZ-FIG2-P4.png,delete
Z036,Z,assets/zotero/Chemosphere/BF6KX7LR/ZOT-BF6KX7LR-V4JBVE9K-FIG2-P4.png,delete
Z037,Z,assets/zotero/Chemosphere/ZI5C2Y5H/ZOT-ZI5C2Y5H-E4P85G8L-FIG3-P5.png,delete
Z038,Z,assets/zotero/ChemSusChem/GVRZ7JEA/ZOT-GVRZ7JEA-5GLLC9F6-FIG2-P4.png,delete
Z039,Z,assets/zotero/Chemical-Reviews/5IMTSNH8/ZOT-5IMTSNH8-MTCJDYR6-FIG12-P20.png,keep
Z040,Z,assets/zotero/Current-Opinion-in-Biotechnology/7GHFV7HN/ZOT-7GHFV7HN-8ZI5TSJT-FIG2-P4.png,delete
Z041,Z,assets/zotero/Environmental-International/AY5JBG9V/ZOT-AY5JBG9V-M88U4GXB-FIG4-P6.png,delete
Z042,Z,assets/zotero/Environmental-Science-Ecotechnology/6HUVZWGB/ZOT-6HUVZWGB-WH6VLNKA-FIG3-P5.png,delete
Z043,Z,assets/zotero/Environmental-Science-Ecotechnology/IRQRLF6H/ZOT-IRQRLF6H-DWG2A3NB-FIG2-P4.png,delete
Z044,Z,assets/zotero/Environmental-Science-Ecotechnology/VOYBPM7S/ZOT-VOYBPM7S-CVPV5PI6-FIG1-P3.png,delete
Z045,Z,assets/zotero/Environmental-Science-Nano/6JQTAQ2Y/ZOT-6JQTAQ2Y-XLWZ6TJJ-FIG2-P4.png,delete
Z046,Z,assets/zotero/Environmental-Science-Pollution-Research/M9CCPX9M/ZOT-M9CCPX9M-NPUKC1BY-FIG2-P4.png,delete
Z047,Z,assets/zotero/Environmental-Science-Technology/2WB7L36Q/ZOT-2WB7L36Q-9TVYI8XJ-FIG3-P5.png,delete
Z048,Z,assets/zotero/Environmental-Science-Technology/2WB7L36Q/ZOT-2WB7L36Q-9TVYI8XJ-FIG5-P8.png,delete
Z049,Z,assets/zotero/Environmental-Science-Technology/3R6J7AWV/ZOT-3R6J7AWV-K8VQER2W-FIG4-P6.png,delete
Z050,Z,assets/zotero/Environmental-Science-Technology/4WW3EAGK/ZOT-4WW3EAGK-YVETMRNQ-FIG2-P4.png,delete
Z051,Z,assets/zotero/Environmental-Science-Technology/4WW3EAGK/ZOT-4WW3EAGK-YVETMRNQ-FIG3-P5.png,delete
Z052,Z,assets/zotero/Environmental-Science-Technology/4WW3EAGK/ZOT-4WW3EAGK-YVETMRNQ-FIG5-P8.png,keep
Z053,Z,assets/zotero/Environmental-Science-Technology/5MG2BU2F/ZOT-5MG2BU2F-CZRETYMX-FIG2-P4.png,delete
